AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202308,3137304,LAGOA DOS PATOS,31,MINAS GERAIS,SE,SUDESTE,6807880.16,46977,871028.1,1086,7058059.13,31991,833619.81,3178,1861,62,1883,57
202407,4107009,CURIÚVA,41,PARANÁ,SU,SUL,33856685.38,185404,24329493.85,13621,35814314.85,102637,23016584.51,38725,7137,465,6911,447
202312,4107009,CURIÚVA,41,PARANÁ,SU,SUL,30449779.62,164769,21291351.35,11560,31353645.27,96071,21986946.93,32380,6564,440,6411,422
202206,4107009,CURIÚVA,41,PARANÁ,SU,SUL,14536218.61,50715,14835035.51,5882,15859669.69,40177,13243434.95,9012,4650,336,4565,332
202201,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,9750465.42,38529,3989078.63,968,9737631.91,34642,2886712.99,2076,3699,102,3868,97
202212,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,24178555.66,106481,9747410.95,7868,23625364.69,80981,11541848.17,21318,4451,238,4586,241
202106,4107009,CURIÚVA,41,PARANÁ,SU,SUL,6954450.06,16616,6685601.21,2126,7533276.81,16250,5683779.91,2869,2701,216,2533,221
202506,4317558,SANTO ANTÔNIO DO PALMA,43,RIO GRANDE DO SUL,SU,SUL,5009152.97,14875,2965692.07,1153,4395680.77,7233,1910056.84,2006,923,94,816,80
202203,1714203,NATIVIDADE,17,TOCANTINS,NO,NORTE,15143481.36,60953,5618843.65,4793,15316665.41,49909,7729013.72,10522,3545,188,3688,190
202011,2909604,CRISÓPOLIS,29,BAHIA,NE,NORDESTE,196918.52,530,2071.13,4,214264.59,547,2465.0,10,216,2,240,4
